Pattern length,Data length,Number of assign,Number of compare,Time
21,3629,3718,18171,0ms
26,3629,3713,18195,0ms
37,3629,3731,18240,0ms
42,3629,3768,18234,0ms
67,3629,3791,18330,0ms
70,3629,3798,18346,1ms
21,34341,34726,171521,2ms
26,34341,34533,171647,3ms
37,34341,34733,171604,3ms
42,34341,34667,171669,2ms
67,34341,34824,171663,4ms
70,34341,34895,171693,1ms
21,125836,127098,628335,8ms
26,125836,126352,628798,7ms
37,125836,127278,628421,7ms
42,125836,126886,628700,7ms
67,125836,127338,628511,8ms
70,125836,127215,628825,7ms
