Pattern length,Data length,Number of assign,Number of compare
10,10000,15955,49175
20,10000,15977,49207
50,10000,16047,49307
100,10000,15378,51286
200,10000,16443,49833
500,10000,17202,50850
1000,10000,18478,52554
10,100000,158064,491780
20,100000,158086,491812
50,100000,158156,491912
100,100000,150080,511004
200,100000,158552,492438
500,100000,159311,493455
1000,100000,160587,495159
10,1000000,1580871,4917649
20,1000000,1580893,4917683
50,1000000,1580963,4917783
100,1000000,1498435,5108199
200,1000000,1581359,4918309
500,1000000,1582118,4919326
1000,1000000,1583394,4921030
