Pattern length,Data length,Number of assign,Number of compare
10,10000,30295,40274
20,10000,30293,40228
50,10000,30376,40202
100,10000,30588,40306
200,10000,30697,39917
500,10000,31267,39281
1000,10000,32244,38271
10,100000,302565,402762
20,100000,302708,402898
50,100000,302772,402810
100,100000,302976,402979
200,100000,303121,402608
500,100000,303663,401922
1000,100000,304464,400728
10,1000000,3026450,4029020
20,1000000,3026004,4028499
50,1000000,3025581,4027809
100,1000000,3026335,4028646
200,1000000,3026913,4028793
500,1000000,3027186,4027719
1000,1000000,3028302,4026945
